Squad,# Pl_Standard,Age_Standard,Poss_Standard,MP_Standard,Starts_Standard,Min_Standard,90s_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,PK_Standard,PKatt_Standard,CrdY_Standard,CrdR_Standard,xG_Standard,npxG_Standard,xAG_Standard,npxG+xAG_Standard,PrgC_Standard,PrgP_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,G+A-PK_Standard,xG_Standard,xAG_Standard,xG+xAG_Standard,npxG_Standard,npxG+xAG_Standard,# Pl_GK,MP_GK,Starts_GK,Min_GK,90s_GK,GA_GK,GA90_GK,SoTA_GK,Saves_GK,Save%_GK,W_GK,D_GK,L_GK,CS_GK,CS%_GK,PKatt_GK,PKA_GK,PKsv_GK,PKm_GK,Save%_GK,# Pl_AdvGK,90s_AdvGK,GA_AdvGK,PKA_AdvGK,FK_AdvGK,CK_AdvGK,OG_AdvGK,PSxG_AdvGK,PSxG/SoT_AdvGK,PSxG+/-_AdvGK,/90_AdvGK,Cmp_AdvGK,Att_AdvGK,Cmp%_AdvGK,Att (GK)_AdvGK,Thr_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Att_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Opp_AdvGK,Stp_AdvGK,Stp%_AdvGK,#OPA_AdvGK,#OPA/90_AdvGK,AvgDist_AdvGK,# Pl_Shooting,90s_Shooting,Gls_Shooting,Sh_Shooting,SoT_Shooting,SoT%_Shooting,Sh/90_Shooting,SoT/90_Shooting,G/Sh_Shooting,G/SoT_Shooting,Dist_Shooting,FK_Shooting,PK_Shooting,PKatt_Shooting,xG_Shooting,npxG_Shooting,npxG/Sh_Shooting,G-xG_Shooting,np:G-xG_Shooting,# Pl_Passing,90s_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,TotDist_Passing,PrgDist_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Ast_Passing,xAG_Passing,xA_Passing,A-xAG_Passing,KP_Passing,1/3_Passing,PPA_Passing,CrsPA_Passing,PrgP_Passing,# Pl_PassTypes,90s_PassTypes,Att_PassTypes,Live_PassTypes,Dead_PassTypes,FK_PassTypes,TB_PassTypes,Sw_PassTypes,Crs_PassTypes,TI_PassTypes,CK_PassTypes,In_PassTypes,Out_PassTypes,Str_PassTypes,Cmp_PassTypes,Off_PassTypes,Blocks_PassTypes,# PlG&SCreation,90sG&SCreation,SCAG&SCreation,SCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,GCAG&SCreation,GCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,# Pl_DefActions,90s_DefActions,Tkl_DefActions,TklW_DefActions,Def 3rd_DefActions,Mid 3rd_DefActions,Att 3rd_DefActions,Tkl_DefActions,Att_DefActions,Tkl%_DefActions,Lost_DefActions,Blocks_DefActions,Sh_DefActions,Pass_DefActions,Int_DefActions,Tkl+Int_DefActions,Clr_DefActions,Err_DefActions,# Pl_Possession,Poss_Possession,90s_Possession,Touches_Possession,Def Pen_Possession,Def 3rd_Possession,Mid 3rd_Possession,Att 3rd_Possession,Att Pen_Possession,Live_Possession,Att_Possession,Succ_Possession,Succ%_Possession,Tkld_Possession,Tkld%_Possession,Carries_Possession,TotDist_Possession,PrgDist_Possession,PrgC_Possession,1/3_Possession,CPA_Possession,Mis_Possession,Dis_Possession,Rec_Possession,PrgR_Possession,# Pl_PlayTime,Age_PlayTime,MP_PlayTime,Min_PlayTime,Mn/MP_PlayTime,Min%_PlayTime,90s_PlayTime,Starts_PlayTime,Mn/Start_PlayTime,Compl_PlayTime,Subs_PlayTime,Mn/Sub_PlayTime,unSub_PlayTime,PPM_PlayTime,onG_PlayTime,onGA_PlayTime,+/-_PlayTime,+/-90_PlayTime,onxG_PlayTime,onxGA_PlayTime,xG+/-_PlayTime,xG+/-90_PlayTime,# Pl_Misc,90s_Misc,CrdY_Misc,CrdR_Misc,2CrdY_Misc,Fls_Misc,Fld_Misc,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon_Misc,PKcon_Misc,OG_Misc,Recov_Misc,Won_Misc,Lost_Misc,Won%_Misc,Extraction Date
Leicester City,18,26.7,44.3,3,33,270,3.0,3,3,6,3,0,0,7,0,2.1,2.1,1.6,3.7,34,76,1.00,1.00,2.00,1.00,2.00,0.70,0.54,1.24,0.70,1.24,1,3,3,270,3.0,5,1.67,17,12,70.6,0,1,2,0,0.0,0,0,0,0,,1,3.0,5,0,0,0,0,6.1,0.36,+1.1,+0.37,6,25,24.0,80,18,23.8,30.0,22,27.3,27.2,51,2,3.9,5,1.67,17.3,18,3.0,3,26,10,38.5,8.67,3.33,0.12,0.30,20.2,1,0,0,2.1,2.1,0.08,+0.9,+0.9,18,3.0,1110,1347,82.4,18201,6534,560,621,90.2,434,489,88.8,84,167,50.3,3,1.6,2.3,+1.4,16,78,13,6,76,18,3.0,1347,1219,118,48,5,6,45,32,8,6,2,0,1110,10,19,18,3.0,44,14.67,28,6,3,2,5,0,6,2.00,4,1,1,0,0,0,18,3.0,65,40,30,26,9,27,57,47.4,30,50,13,37,28,93,90,1,18,44.3,3.0,1713,237,691,781,263,34,1713,54,20,37.0,23,42.6,965,4654,2146,34,20,6,44,31,1099,76,18,26.7,3,270,90,100,3.0,33,85,21,12,15,15,0.33,3,5,-2,-0.67,2.1,4.3,-2.2,-0.74,18,3.0,7,0,0,37,47,10,45,28,40,0,0,0,120,30,35,46.2,2024-09-02 14:44:45.155536
Liverpool,18,27.6,57.0,2,33,270,3.0,7,6,13,7,0,0,4,0,6.8,6.8,5.8,12.6,69,128,2.33,2.00,4.33,2.33,4.33,2.28,1.93,4.21,2.28,4.21,1,2,2,270,3.0,0,0.00,7,7,100.0,3,0,0,3,150.0,0,0,0,0,,1,3.0,0,0,0,0,0,1.7,0.24,+1.7,+0.56,10,26,38.5,110,8,20.9,25.6,14,21.4,24.0,24,1,4.2,6,2.00,16.4,18,3.0,7,48,16,33.3,16.00,5.33,0.15,0.44,14.0,1,0,0,6.8,6.8,0.15,+0.2,+0.2,18,3.0,1496,1745,85.7,25062,8591,735,799,92.0,630,694,90.8,107,199,53.8,6,5.8,5.2,+0.2,38,104,36,7,128,18,3.0,1745,1611,131,29,10,9,45,64,21,15,3,0,1496,3,18,18,3.0,85,28.33,66,2,6,8,1,2,13,4.33,13,0,0,0,0,0,18,3.0,51,31,26,14,11,31,48,64.6,17,40,5,35,21,72,57,1,18,57.0,3.0,2066,217,660,865,562,113,2066,59,24,40.7,31,52.5,1190,5818,3079,69,46,34,40,31,1483,125,18,27.6,2,270,135,100,3.0,33,84,20,13,16,14,3.00,4,0,+4,+1.33,6.8,2.4,+4.5,+1.49,18,3.0,4,0,0,35,22,3,45,21,31,0,0,0,140,36,25,59.0,2024-09-02 14:44:45.155536
Manchester City,19,26.9,64.7,3,33,270,3.0,9,6,15,8,1,1,5,0,7.1,6.3,5.6,11.9,107,169,3.00,2.00,5.00,2.67,4.67,2.37,1.87,4.23,2.10,3.97,1,3,3,270,3.0,2,0.67,6,5,66.7,3,0,0,1,33.3,0,0,0,0,,1,3.0,2,0,0,0,1,1.2,0.20,+0.2,+0.06,8,17,47.1,89,8,16.9,27.4,12,16.7,23.2,27,1,3.7,3,1.00,19.6,19,3.0,9,47,17,36.2,15.67,5.67,0.17,0.47,16.7,2,1,1,7.1,6.3,0.13,+1.9,+1.7,19,3.0,1918,2128,90.1,31168,8382,1007,1088,92.6,762,817,93.3,127,165,77.0,6,5.6,5.4,+0.4,39,157,43,5,169,19,3.0,2128,1997,126,36,8,5,50,49,24,7,4,1,1918,5,29,19,3.0,89,29.67,69,7,6,3,3,1,16,5.33,10,0,4,0,1,1,19,3.0,45,27,23,12,10,18,34,52.9,16,28,7,21,23,68,46,1,19,64.7,3.0,2405,183,559,986,882,128,2404,69,38,55.1,18,26.1,1347,8247,4825,107,78,40,31,30,1895,169,19,26.9,3,270,90,100,3.0,33,85,23,10,18,17,3.00,9,2,+7,+2.33,7.1,2.0,+5.1,+1.71,19,3.0,5,0,0,16,37,5,50,23,27,1,0,1,116,17,19,47.2,2024-09-02 14:44:45.155536
Manchester Utd,19,26.3,53.3,2,33,270,3.0,2,2,4,2,0,0,8,0,5.2,5.2,4.8,10.0,44,108,0.67,0.67,1.33,0.67,1.33,1.74,1.60,3.34,1.74,3.34,1,2,2,270,3.0,5,1.67,9,4,44.4,1,0,2,1,50.0,0,0,0,0,,1,3.0,5,0,0,1,0,5.7,0.63,+0.7,+0.24,16,35,45.7,123,18,26.8,26.6,18,11.1,18.9,32,2,6.3,8,2.67,17.8,19,3.0,2,33,11,33.3,11.00,3.67,0.06,0.18,16.7,0,0,0,5.2,5.2,0.16,-3.2,-3.2,19,3.0,1339,1616,82.9,21533,7706,633,708,89.4,546,619,88.2,95,164,57.9,2,4.8,3.3,-2.8,28,90,20,7,108,19,3.0,1616,1483,124,27,6,4,49,55,16,8,3,1,1339,9,31,19,3.0,61,20.33,57,3,0,1,0,0,4,1.33,4,0,0,0,0,0,19,3.0,72,45,37,26,9,41,64,64.1,23,29,8,21,36,108,42,3,19,53.3,3.0,1926,222,701,816,425,74,1926,64,26,40.6,33,51.6,1241,6234,3039,44,36,19,33,33,1321,106,19,26.3,2,270,135,100,3.0,33,82,19,14,20,13,1.50,2,2,0,0.00,5.2,4.2,+1.0,+0.32,19,3.0,8,0,0,32,25,9,49,36,45,0,0,0,159,31,36,46.3,2024-09-02 14:44:45.155536
Newcastle Utd,18,27.3,39.3,2,33,270,3.0,4,4,8,4,0,0,8,1,3.4,3.4,3.4,6.8,36,73,1.33,1.33,2.67,1.33,2.67,1.15,1.13,2.28,1.15,2.28,1,2,2,270,3.0,2,0.67,13,12,84.6,2,1,0,1,50.0,0,0,0,0,,1,3.0,2,0,0,0,1,2.9,0.23,+1.9,+0.62,18,57,31.6,65,12,52.3,40.4,28,82.1,58.0,59,3,5.1,9,3.00,18.7,18,3.0,4,26,9,34.6,8.67,3.00,0.15,0.44,13.1,0,0,0,3.4,3.4,0.14,+0.6,+0.6,18,3.0,758,1046,72.5,13043,5815,380,445,85.4,291,349,83.4,69,178,38.8,4,3.4,2.8,+0.6,23,53,23,6,73,18,3.0,1046,884,159,55,2,6,50,52,19,12,4,0,758,3,35,18,3.0,47,15.67,34,6,1,2,2,2,8,2.67,6,1,0,0,0,1,18,3.0,54,34,25,20,9,32,48,66.7,16,55,22,33,22,76,89,2,18,39.3,3.0,1409,242,588,532,305,56,1409,40,14,35.0,23,57.5,701,3641,1623,36,24,13,36,34,748,73,18,27.3,2,270,135,100,3.0,33,79,20,12,24,15,2.00,2,1,+1,+0.33,3.4,5.2,-1.8,-0.60,18,3.0,8,1,0,39,48,3,50,22,34,0,0,1,129,26,35,42.6,2024-09-02 14:44:45.155536
Nott'ham Forest,19,26.3,47.0,3,33,270,3.0,3,1,4,3,0,0,7,0,4.6,4.6,3.4,7.9,66,104,1.00,0.33,1.33,1.00,1.33,1.53,1.12,2.65,1.53,2.65,1,3,3,270,3.0,2,0.67,7,5,71.4,1,2,0,1,33.3,0,0,0,0,,1,3.0,2,0,0,0,0,1.8,0.26,-0.2,-0.07,23,55,41.8,62,4,80.6,43.2,24,20.8,21.1,34,2,5.9,0,0.00,6.5,19,3.0,3,53,21,39.6,17.67,7.00,0.06,0.14,17.0,1,0,0,4.6,4.6,0.09,-1.6,-1.6,19,3.0,1038,1338,77.6,17657,6904,523,595,87.9,385,475,81.1,99,192,51.6,1,3.4,2.9,-2.4,43,82,24,5,104,19,3.0,1338,1190,142,43,2,3,55,51,19,11,8,0,1038,6,33,19,3.0,93,31.00,70,6,4,10,2,1,4,1.33,0,1,0,2,1,0,19,3.0,65,39,30,31,4,28,48,58.3,20,29,9,20,28,93,62,0,19,47.0,3.0,1705,175,498,728,502,97,1705,64,24,37.5,29,45.3,854,4763,2533,66,42,26,39,30,1025,102,19,26.3,3,270,90,100,3.0,33,81,19,14,21,13,1.67,3,2,+1,+0.33,4.6,2.1,+2.5,+0.83,19,3.0,7,0,0,46,39,6,55,28,39,0,0,0,143,50,35,58.8,2024-09-02 14:44:45.155536
Southampton,20,26.5,68.0,3,33,270,3.0,1,1,2,1,0,0,8,0,3.4,3.4,2.9,6.2,86,154,0.33,0.33,0.67,0.33,0.67,1.12,0.96,2.08,1.12,2.08,2,3,3,270,3.0,5,1.67,16,11,68.8,0,0,3,0,0.0,0,0,0,0,,2,3.0,5,0,0,1,0,5.4,0.34,+0.4,+0.14,6,20,30.0,73,19,27.4,22.2,21,0.0,14.6,34,4,11.8,0,0.00,6.9,20,3.0,1,42,10,23.8,14.00,3.33,0.02,0.10,17.8,2,0,0,3.4,3.4,0.08,-2.4,-2.4,20,3.0,1795,2057,87.3,27950,7955,942,1014,92.9,732,815,89.8,83,147,56.5,1,2.9,3.4,-1.9,33,134,32,6,154,20,3.0,2057,1916,137,40,5,4,64,44,24,10,5,0,1795,4,37,20,3.0,77,25.67,59,4,3,6,4,1,2,0.67,2,0,0,0,0,0,20,3.0,46,28,18,14,14,21,35,60.0,14,31,13,18,14,60,49,6,20,68.0,3.0,2340,213,637,1044,666,95,2340,49,20,40.8,24,49.0,1371,7589,4363,86,60,21,31,33,1778,153,20,26.5,3,270,90,100,3.0,33,80,19,14,23,13,0.00,1,5,-4,-1.33,3.4,5.3,-1.9,-0.63,20,3.0,8,0,0,37,38,4,64,14,28,0,0,0,110,16,27,37.2,2024-09-02 14:44:45.155536
Tottenham,20,25.4,68.7,2,33,270,3.0,5,4,9,5,0,0,5,0,4.8,4.8,3.0,7.9,72,169,1.67,1.33,3.00,1.67,3.00,1.61,1.01,2.62,1.61,2.62,1,2,2,270,3.0,3,1.00,7,4,57.1,1,1,1,1,50.0,0,0,0,0,,1,3.0,3,0,0,0,0,3.6,0.51,+0.6,+0.20,0,6,0.0,103,22,5.8,19.8,11,0.0,12.7,31,3,9.7,8,2.67,19.7,20,3.0,5,48,19,39.6,16.00,6.33,0.10,0.26,16.5,2,0,0,4.8,4.8,0.10,+0.2,+0.2,20,3.0,1650,1929,85.5,25801,7898,844,924,91.3,660,736,89.7,87,152,57.2,4,3.0,4.3,+1.0,36,128,45,10,169,20,3.0,1929,1765,159,48,6,8,74,57,37,14,6,0,1650,5,42,20,3.0,86,28.67,58,9,4,7,7,1,6,2.00,4,1,1,0,0,0,20,3.0,68,45,22,33,13,36,55,65.5,19,30,9,21,15,83,46,1,20,68.7,3.0,2269,147,552,952,785,132,2269,71,28,39.4,37,52.1,1351,7045,3752,72,53,29,41,31,1636,168,20,25.4,2,270,135,100,3.0,33,83,18,15,15,12,2.00,5,1,+4,+1.33,4.8,3.5,+1.3,+0.43,20,3.0,5,0,0,36,42,5,74,15,45,0,0,0,132,33,31,51.6,2024-09-02 14:44:45.155536
West Ham,20,28.9,42.3,3,33,270,3.0,3,1,4,2,1,1,5,0,4.4,3.6,2.1,5.6,56,81,1.00,0.33,1.33,0.67,1.00,1.46,0.68,2.15,1.20,1.88,2,3,3,270,3.0,5,1.67,13,8,61.5,1,0,2,1,33.3,0,0,0,0,,2,3.0,5,0,0,1,0,4.5,0.34,-0.5,-0.18,20,44,45.5,78,16,35.9,37.5,28,57.1,44.6,41,3,7.3,4,1.33,6.0,20,3.0,3,41,7,17.1,13.67,2.33,0.05,0.29,16.0,0,1,1,4.4,3.6,0.09,-1.4,-1.6,20,3.0,1007,1268,79.4,17775,6494,457,520,87.9,401,472,85.0,113,195,57.9,1,2.1,2.5,-1.1,24,68,20,5,81,20,3.0,1268,1146,119,26,2,11,53,46,11,5,5,0,1007,3,33,20,3.0,69,23.00,45,7,5,9,1,2,5,1.67,2,0,1,1,1,0,20,3.0,45,28,25,17,3,21,44,47.7,23,37,15,22,27,72,69,1,20,42.3,3.0,1597,225,589,725,304,66,1596,54,28,51.9,20,37.0,835,4784,2456,56,32,16,39,42,993,81,20,28.9,3,270,90,100,3.0,33,83,18,15,16,12,1.00,4,5,-1,-0.33,4.4,6.3,-1.9,-0.64,20,3.0,5,0,0,45,22,3,53,27,28,1,0,0,120,46,32,59.0,2024-09-02 14:44:45.155536
Wolves,21,27.1,45.0,3,33,270,3.0,3,3,6,3,0,0,8,0,3.2,3.2,2.5,5.6,40,72,1.00,1.00,2.00,1.00,2.00,1.05,0.82,1.87,1.05,1.87,2,3,3,270,3.0,9,3.00,19,10,52.6,0,1,2,0,0.0,0,0,0,0,,2,3.0,9,0,0,2,0,6.4,0.35,-2.6,-0.86,18,55,32.7,83,3,60.2,38.3,19,26.3,22.9,36,2,5.6,6,2.00,18.5,21,3.0,3,32,9,28.1,10.67,3.00,0.09,0.33,19.7,2,0,0,3.2,3.2,0.10,-0.2,-0.2,21,3.0,888,1146,77.5,15750,5681,413,480,86.0,384,443,86.7,80,168,47.6,3,2.5,1.9,+0.5,20,79,18,4,72,21,3.0,1146,1003,139,47,6,9,34,51,10,6,4,0,888,4,24,21,3.0,50,16.67,36,4,1,3,3,3,5,1.67,3,1,0,0,0,1,21,3.0,61,36,34,21,6,27,53,50.9,26,40,15,25,26,87,60,0,21,45.0,3.0,1476,203,570,617,314,53,1476,55,24,43.6,22,40.0,811,4833,2476,40,34,14,48,27,879,72,21,27.1,3,270,90,100,3.0,33,82,18,15,18,12,0.33,3,9,-6,-2.00,3.2,3.9,-0.7,-0.25,21,3.0,8,0,0,45,43,4,34,26,36,0,0,0,123,37,36,50.7,2024-09-02 14:44:45.155536
